[Thu, 09 Feb 2017 23:33:36 GMT] 127.0.0.1 200 GET /backend/approles/ (w#0) (0ms) (none) (Mozilla/5.0 (X11; Linux i686; rv:51.0) Gecko/20100101 Firefox/51.0)
[Thu, 09 Feb 2017 23:54:54 GMT] 127.0.0.1 200 GET /backend/approles/ (w#0) (0ms) (none) (Mozilla/5.0 (X11; Linux i686; rv:51.0) Gecko/20100101 Firefox/51.0)
[Wed, 15 Feb 2017 13:37:29 GMT] 127.0.0.1 200 POST /backend/auth/login/ (w#0) (440ms) (none) (Mozilla/5.0 (X11; Linux i686; rv:51.0) Gecko/20100101 Firefox/51.0)
[Wed, 15 Feb 2017 13:37:29 GMT] 127.0.0.1 200 GET /backend/approles/ (w#0) (87ms) (none) (Mozilla/5.0 (X11; Linux i686; rv:51.0) Gecko/20100101 Firefox/51.0)
[Wed, 15 Feb 2017 13:37:29 GMT] 127.0.0.1 200 GET /backend/auth/renuevesession/ (w#0) (0ms) (none) (Mozilla/5.0 (X11; Linux i686; rv:51.0) Gecko/20100101 Firefox/51.0)
[Wed, 15 Feb 2017 13:37:36 GMT] 127.0.0.1 200 GET /backend/approles/ (w#0) (1ms) (none) (Mozilla/5.0 (X11; Linux i686; rv:51.0) Gecko/20100101 Firefox/51.0)
[Wed, 15 Feb 2017 13:37:36 GMT] 127.0.0.1 200 GET /backend/auth/renuevesession/ (w#0) (0ms) (none) (Mozilla/5.0 (X11; Linux i686; rv:51.0) Gecko/20100101 Firefox/51.0)
[Wed, 15 Feb 2017 13:38:36 GMT] 127.0.0.1 200 GET /backend/auth/renuevesession/ (w#0) (0ms) (none) (Mozilla/5.0 (X11; Linux i686; rv:51.0) Gecko/20100101 Firefox/51.0)
[Wed, 15 Feb 2017 13:38:45 GMT] 127.0.0.1 200 GET /backend/approles/ (w#0) (2ms) (none) (Mozilla/5.0 (X11; Linux i686; rv:51.0) Gecko/20100101 Firefox/51.0)
[Wed, 15 Feb 2017 13:38:53 GMT] 127.0.0.1 200 GET /backend/approles/ (w#0) (1ms) (none) (Mozilla/5.0 (X11; Linux i686; rv:51.0) Gecko/20100101 Firefox/51.0)
[Wed, 15 Feb 2017 13:38:59 GMT] 127.0.0.1 200 GET /backend/auth/terminatesession/ (w#0) (0ms) (none) (Mozilla/5.0 (X11; Linux i686; rv:51.0) Gecko/20100101 Firefox/51.0)
[Wed, 15 Feb 2017 14:08:38 GMT] 127.0.0.1 200 POST /backend/auth/login/ (w#0) (2ms) (none) (Mozilla/5.0 (X11; Linux i686; rv:51.0) Gecko/20100101 Firefox/51.0)
[Wed, 15 Feb 2017 14:08:38 GMT] 127.0.0.1 200 GET /backend/approles/ (w#0) (2ms) (none) (Mozilla/5.0 (X11; Linux i686; rv:51.0) Gecko/20100101 Firefox/51.0)
[Wed, 15 Feb 2017 14:08:38 GMT] 127.0.0.1 200 GET /backend/auth/renuevesession/ (w#0) (0ms) (none) (Mozilla/5.0 (X11; Linux i686; rv:51.0) Gecko/20100101 Firefox/51.0)
[Wed, 15 Feb 2017 14:08:56 GMT] 127.0.0.1 200 GET /backend/approles/ (w#0) (1ms) (none) (Mozilla/5.0 (X11; Linux i686; rv:51.0) Gecko/20100101 Firefox/51.0)
[Wed, 15 Feb 2017 14:09:18 GMT] 127.0.0.1 200 GET /backend/approles/ (w#0) (1ms) (none) (Mozilla/5.0 (X11; Linux i686; rv:51.0) Gecko/20100101 Firefox/51.0)
[Wed, 15 Feb 2017 14:09:24 GMT] 127.0.0.1 200 GET /backend/approles/ (w#0) (1ms) (none) (Mozilla/5.0 (X11; Linux i686; rv:51.0) Gecko/20100101 Firefox/51.0)
[Wed, 15 Feb 2017 14:09:31 GMT] 127.0.0.1 200 GET /backend/approles/ (w#0) (1ms) (none) (Mozilla/5.0 (X11; Linux i686; rv:51.0) Gecko/20100101 Firefox/51.0)
[Wed, 15 Feb 2017 14:09:38 GMT] 127.0.0.1 200 GET /backend/auth/renuevesession/ (w#0) (0ms) (none) (Mozilla/5.0 (X11; Linux i686; rv:51.0) Gecko/20100101 Firefox/51.0)
[Wed, 15 Feb 2017 14:09:55 GMT] 127.0.0.1 200 GET /backend/auth/terminatesession/ (w#0) (1ms) (none) (Mozilla/5.0 (X11; Linux i686; rv:51.0) Gecko/20100101 Firefox/51.0)
